Date,Open,High,Low,Close,Adj Close,Volume
2/13/2012,305.555542,307.227234,305.315308,306.406403,306.406403,3628900
2/14/2012,306.07608,306.306305,302.682678,305.185181,305.185181,3603700
2/15/2012,306.771759,306.771759,301.581573,303.083069,303.083069,4846900
2/16/2012,301.7117,304.709717,299.164154,303.563568,303.563568,5056700
2/17/2012,302.787781,304.11911,301.501495,302.62262,302.62262,4893300
2/21/2012,302.237244,309.249237,301.74173,307.307312,307.307312,4956600
2/22/2012,306.286285,308.6987,303.658661,304.274261,304.274261,3930000
2/23/2012,303.803802,304.274261,300.475464,303.358368,303.358368,4105800
2/24/2012,303.978973,306.131134,303.058044,305.255249,305.255249,3867300
2/27/2012,303.598602,306.486481,302.832825,304.959961,304.959961,3624100
2/28/2012,305.305298,310.19519,304.144135,309.504517,309.504517,5689500
2/29/2012,309.609619,313.113098,308.058044,309.434448,309.434448,6267500
3/1/2012,311.441437,313.163177,309.384399,311.511505,311.511505,4470900
3/2/2012,311.31131,312.312317,310.470459,310.935944,310.935944,3143400
3/5/2012,310.525513,311.556549,305.996002,307.432434,307.432434,3183400
3/6/2012,304.329315,304.709717,297.217224,302.782776,302.782776,6342400
3/7/2012,304.829834,305.900909,303.233246,303.703705,303.703705,2526400
3/8/2012,305.325317,306.056061,303.478485,303.873871,303.873871,2688300
3/9/2012,304.279266,306.256256,300.300293,300.425415,300.425415,5335800
3/12/2012,300.300293,303.803802,299.929932,302.877869,302.877869,3334600
3/13/2012,304.679688,309.234222,303.078064,309.199188,309.199188,4487100
3/14/2012,307.8078,311.701691,307.037048,308.303314,308.303314,5867900
3/15/2012,308.608612,312.062073,307.722717,310.875885,310.875885,4865300
3/16/2012,310.755768,313.26828,310.335327,312.832825,312.832825,6094800
3/19/2012,311.871857,318.953949,310.930939,317.307312,317.307312,4341200
3/20/2012,315.775787,318.348358,313.948944,317.062073,317.062073,3077900
3/21/2012,317.62262,324.019012,316.571564,320.310303,320.310303,4934200
3/22/2012,319.56958,324.724731,315.815826,323.348358,323.348358,4815500
3/23/2012,323.623627,324.574585,320.770782,321.616608,321.616608,3876500
3/26/2012,322.822815,325.070068,320.090088,324.98999,324.98999,3634700
3/27/2012,323.838837,327.077087,322.722717,323.833832,323.833832,4010300
3/28/2012,326.341339,329.624634,325.865875,328.208221,328.208221,5072700
3/29/2012,327.047058,328.623627,322.472473,324.529541,324.529541,3844700
3/30/2012,326.201202,327.072083,320.820831,320.940948,320.940948,4616700
4/2/2012,320.705719,324.074066,317.737732,323.783783,323.783783,4563800
4/3/2012,323.028015,324.299286,319.639648,321.631622,321.631622,4085700
4/4/2012,319.544556,319.819824,315.865875,317.892883,317.892883,3251900
4/5/2012,316.436432,318.533539,314.599609,316.476471,316.476471,4632700
4/9/2012,314.554565,317.982971,312.957947,315.735748,315.735748,4361000
4/10/2012,317.077087,317.567566,312.587585,313.743744,313.743744,4959000
4/11/2012,317.302307,318.318329,315.965973,318.298309,318.298309,4393600
4/12/2012,321.49649,326.896912,320.450439,325.830841,325.830841,11501600
4/13/2012,324.099091,324.819824,312.082092,312.61261,312.61261,16302200
4/16/2012,311.811798,312.217224,301.131134,303.338348,303.338348,11372800
4/17/2012,304.584595,309.154144,303.808807,305.090088,305.090088,6041700
4/18/2012,304.329315,306.706696,301.706696,304.029022,304.029022,5333600
4/19/2012,303.148163,308.438446,299.799805,299.949951,299.949951,6582600
4/20/2012,302.427429,304.729736,298.213226,298.328339,298.328339,6110600
4/23/2012,296.746735,299.524536,295.395386,299.099091,299.099091,4391200
4/24/2012,299.419434,303.618622,298.958954,300.935944,300.935944,3854300
4/25/2012,302.302307,305.980988,301.74173,305.165161,305.165161,3638500
4/26/2012,305.760773,309.309296,305.155151,308.04303,308.04303,4180800
4/27/2012,307.81781,308.67868,305.605591,307.797791,307.797791,3269500
4/30/2012,306.801788,308.348358,300.605591,302.727722,302.727722,4809700
5/1/2012,302.197205,306.10611,300.395386,302.517517,302.517517,4000500
5/2/2012,300.900909,304.359344,300.605591,303.933929,303.933929,3219700
5/3/2012,305.115112,307.722717,304.779785,305.815826,305.815826,3732200
5/4/2012,303.263275,304.249237,298.703705,298.783783,298.783783,4410300
5/7/2012,297.797791,305.590576,297.797791,304.079071,304.079071,3985000
5/8/2012,303.068054,308.758759,300.650665,306.701691,306.701691,5349200
5/9/2012,303.713715,308.498505,301.206207,304.879883,304.879883,4652900
5/10/2012,306.786774,308.403412,305.42041,307.137146,307.137146,3068700
5/11/2012,305.480469,307.582581,302.687683,302.917908,302.917908,4194600
5/14/2012,300.690704,304.554565,300.590576,302.302307,302.302307,3645100
5/15/2012,302.977966,307.8078,302.177185,305.86087,305.86087,4199900
5/16/2012,309.289276,315.365356,308.27829,314.779785,314.779785,9660500
5/17/2012,317.232239,319.244232,310.925934,311.836823,311.836823,6700800
5/18/2012,312.862854,316.52652,298.648651,300.500488,300.500488,11935000
5/21/2012,300.555542,308.153168,300.300293,307.362366,307.362366,6144600
5/22/2012,307.027039,307.212219,298.298309,300.700714,300.700714,6097600
5/23/2012,301.126129,305.105103,298.858856,305.035034,305.035034,6349800
5/24/2012,304.884888,306.266266,299.734741,302.132141,302.132141,3778800
5/25/2012,300.800812,301.166168,294.434448,296.061066,296.061066,7156600
5/29/2012,298.203217,299.864868,294.454468,297.467468,297.467468,5206100
5/30/2012,294.374359,296.246246,292.057068,294.409424,294.409424,3809500
5/31/2012,294.654663,295.295288,289.789795,290.720734,290.720734,5930600
6/1/2012,286.181183,286.611603,284.459473,285.775787,285.775787,6109600
6/4/2012,285.395386,290.535522,285.290283,289.584595,289.584595,4860500
6/5/2012,288.013,289.35434,283.518524,285.490479,285.490479,4675100
6/6/2012,288.528534,291.276276,287.092102,290.575562,290.575562,4187400
6/7/2012,294.094086,294.239227,288.91391,289.404419,289.404419,3513400
6/8/2012,288.213226,290.790802,287.577576,290.515503,290.515503,2817900
6/11/2012,292.3974,292.952942,283.628632,284.534546,284.534546,5316800
6/12/2012,285.170166,285.435425,279.56958,282.832825,282.832825,6441900
6/13/2012,281.141144,283.783783,279.619629,280.825836,280.825836,3904400
6/14/2012,280.930939,282.81781,278.538544,279.80481,279.80481,4685100
6/15/2012,280.450439,282.542542,278.823822,282.537537,282.537537,5996300
6/18/2012,281.591583,287.392395,279.904907,285.710724,285.710724,4988800
6/19/2012,287.082092,292.432434,286.846832,291.056061,291.056061,4148200
6/20/2012,290.19519,290.290283,287.042053,289.044037,289.044037,4688700
6/21/2012,290.210205,290.210205,282.147156,282.887878,282.887878,4018500
6/22/2012,284.284271,286.026031,283.193207,286.026031,286.026031,4451300
6/25/2012,283.948944,284.329315,278.953949,280.630646,280.630646,3160000
6/26/2012,281.661652,283.583588,280.02002,282.62262,282.62262,2697600
6/27/2012,284.134125,287.282288,283.293304,284.934937,284.934937,3381200
6/28/2012,283.233246,283.398407,278.883881,282.437439,282.437439,3837900
6/29/2012,287.767761,290.355347,286.386383,290.325317,290.325317,5033900
7/2/2012,291.201202,291.791779,288.538544,290.525513,290.525513,3307600
7/3/2012,290.295288,294.499512,289.289276,294.209198,294.209198,2376600
7/5/2012,294.674683,300.330322,294.564575,298.25827,298.25827,4687100
7/6/2012,296.521515,297.057068,291.701691,293.283295,293.283295,4319200
7/9/2012,292.767761,294.594604,290.915924,293.298309,293.298309,3426700
7/10/2012,295.390381,296.511505,289.659668,291.141144,291.141144,3842300
7/11/2012,288.438446,289.214203,282.752747,285.88089,285.88089,6991600
7/12/2012,283.843842,286.251251,281.326324,285.525513,285.525513,4614900
7/13/2012,286.361359,289.864868,284.55957,288.548553,288.548553,3948000
7/16/2012,288.47348,289.884888,286.176178,287.747742,287.747742,2922200
7/17/2012,289.504517,290.625641,284.484497,288.653656,288.653656,3356800
7/18/2012,288.778778,292.137146,288.353363,290.670685,290.670685,3093300
7/19/2012,293.363373,299.539551,293.293304,296.826813,296.826813,9340000
7/20/2012,304.684692,306.776764,299.389404,305.715729,305.715729,12914400
7/23/2012,300.540527,309.484497,299.424438,308.063049,308.063049,7116200
7/24/2012,307.8078,309.274261,302.472473,304.089081,304.089081,4014700
7/25/2012,304.464478,306.997009,302.987976,304.299286,304.299286,3642300
7/26/2012,307.8078,308.743744,305.320313,306.987,306.987,3367000
7/27/2012,309.754761,317.81781,309.059052,317.797791,317.797791,7092300
7/30/2012,318.343353,321.621613,315.065063,316.466461,316.466461,4369000
7/31/2012,314.444458,318.568573,314.424438,316.801788,316.801788,3727400
8/1/2012,318.968964,320.075073,316.006012,316.656647,316.656647,3685500
8/2/2012,313.068054,319.33432,312.017029,314.689697,314.689697,3951400
8/3/2012,320.320313,322.18219,318.388397,320.985992,320.985992,3790400
8/6/2012,320.125122,325.015015,319.929932,321.73172,321.73172,3561200
8/7/2012,321.216217,322.452454,318.553558,320.590576,320.590576,3959600
8/8/2012,319.844849,323.25827,319.56958,321.436432,321.436432,2641700
8/9/2012,322.577576,323.508514,321.081085,321.49649,321.49649,2138400
8/10/2012,319.614624,321.441437,318.383392,321.32132,321.32132,2866300
8/13/2012,324.034027,330.405396,323.663666,330.335327,330.335327,6529200
8/14/2012,329.954956,336.761749,329.829834,334.664673,334.664673,7316000
8/15/2012,335.475464,337.462463,332.382385,334.104095,334.104095,4816500
8/16/2012,334.089081,337.657654,333.873871,336.771759,336.771759,3431900
8/17/2012,337.3974,338.963959,336.186188,338.908905,338.908905,4351000
8/20/2012,338.088074,339.77478,336.666656,338.108093,338.108093,3512600
8/21/2012,336.891907,339.339325,331.416412,335.090088,335.090088,4439900
8/22/2012,334.024017,340.640656,333.683685,338.928925,338.928925,3814500
8/23/2012,337.472473,340.580566,335.835846,338.738739,338.738739,3564800
8/24/2012,338.138153,340.565552,337.37738,339.654663,339.654663,2850300
8/27/2012,331.826813,336.336334,329.949951,334.944946,334.944946,5222100
8/28/2012,332.832825,339.149139,332.702698,338.963959,338.963959,4113000
8/29/2012,339.024017,344.839844,338.413422,344.349335,344.349335,5974600
8/30/2012,342.462463,344.039032,340.43042,341.181183,341.181183,3250500
8/31/2012,342.342346,344.634644,340.360352,342.887878,342.887878,4249900
9/4/2012,342.617615,342.842834,337.087097,340.86087,340.86087,3775400
9/5/2012,340.340332,343.593597,339.909912,340.700714,340.700714,3412900
9/6/2012,343.323334,350.295288,342.707703,350.050049,350.050049,6080900
9/7/2012,350.350342,356.481476,349.184174,353.428436,353.428436,6459500
9/10/2012,355.235229,356.761749,349.544556,350.735748,350.735748,5114800
9/11/2012,349.329315,350.67569,345.845856,346.441437,346.441437,3743800
9/12/2012,345.050049,347.802795,340.780792,345.785797,345.785797,5279300
9/13/2012,346.891907,354.854858,345.615601,353.373383,353.373383,5312600
9/14/2012,355.155151,356.856842,353.858856,355.19519,355.19519,5231700
9/17/2012,354.409424,356.796783,352.852844,355.345337,355.345337,3013500
9/18/2012,354.244232,359.689697,353.743744,359.499512,359.499512,4129400
9/19/2012,359.1091,364.644653,358.563568,364.114105,364.114105,6190400
9/20/2012,362.597595,366.056061,360.970978,364.424438,364.424438,5808900
9/21/2012,366.471466,367.82782,365.425415,367.362366,367.362366,12705400
9/24/2012,365.865875,375.395386,365.490479,375.065063,375.065063,7120400
9/25/2012,376.901917,382.82782,374.204193,374.954956,374.954956,12104800
9/26/2012,375.300293,381.001007,370.87088,377.107117,377.107117,11334400
9/27/2012,380.355347,381.801788,376.201202,378.628632,378.628632,7854300
9/28/2012,377.452454,380.030029,375.950958,377.627625,377.627625,5561400
10/1/2012,379.904907,382.882874,378.48349,381.271271,381.271271,6329600
10/2/2012,382.982971,383.378387,375.510498,378.873871,378.873871,5574800
10/3/2012,378.238251,382.342346,376.476471,381.631622,381.631622,4412100
10/4/2012,381.756744,385.330322,380.080078,384.409424,384.409424,4903400
10/5/2012,385.740753,387.577576,382.887878,384.209198,384.209198,5466300
10/8/2012,380.88089,382.17218,377.452454,379.299286,379.299286,3913200
10/9/2012,380.21521,381.041046,371.636627,372.417419,372.417419,6000300
10/10/2012,371.3013,374.13913,369.514526,372.652649,372.652649,4075700
10/11/2012,376.826813,379.629639,375.520508,376.116119,376.116119,4763000
10/12/2012,376.3013,377.812805,372.422424,372.747742,372.747742,4803500
10/15/2012,371.341339,372.287292,365.715729,370.86087,370.86087,6032100
10/16/2012,370.435425,373.868866,368.598602,372.722717,372.722717,4112200
10/17/2012,372.347351,378.548553,370.500488,378.123108,378.123108,4581200
10/18/2012,378.148163,380.090088,338.338348,347.847839,347.847839,24859900
10/19/2012,353.143158,353.703705,336.336334,341.236237,341.236237,22941400
10/22/2012,340.845856,342.657654,335.185181,339.674683,339.674683,8103000
10/23/2012,336.341339,344.009003,336.336334,340.515503,340.515503,5827300
10/24/2012,343.743744,343.843842,337.972961,338.988983,338.988983,4988000
10/25/2012,340.340332,341.341339,337.092102,339.219208,339.219208,4797300
10/26/2012,338.588593,341.856842,335.935944,337.912903,337.912903,3897600
10/31/2012,340.270264,340.840851,337.83783,340.490479,340.490479,3070900
11/1/2012,340.090088,345.795807,339.699707,344.13913,344.13913,4096000
11/2/2012,347.742737,348.123108,344.029022,344.304291,344.304291,4644100
11/5/2012,342.59259,343.773773,338.118103,341.821808,341.821808,3268500
11/6/2012,343.083069,343.593597,339.114105,341.201202,341.201202,3162400
11/7/2012,337.83783,339.454468,333.578583,333.89389,333.89389,4460100
11/8/2012,335.435425,336.081085,325.940948,326.471466,326.471466,5188800
11/9/2012,327.652649,334.504517,325.475464,331.846832,331.846832,6221900
11/12/2012,332.207214,335.235229,330.765778,333.283295,333.283295,2808900
11/13/2012,331.831818,334.134125,329.444458,329.854858,329.854858,3185200
11/14/2012,330.660675,331.421417,325.575562,326.601593,326.601593,3333400
11/15/2012,325.325317,330.330322,322.272278,323.953949,323.953949,3694100
11/16/2012,323.318329,326.836823,318.318329,323.91391,323.91391,6869500
11/19/2012,328.178192,334.7948,328.093079,334.439453,334.439453,4731600
11/20/2012,335.090088,339.339325,332.617615,335.320313,335.320313,4173200
11/21/2012,334.829834,335.235229,330.530518,333.26828,333.26828,4220100
11/23/2012,335.320313,335.335327,333.383392,334.319305,334.319305,1843100
11/26/2012,333.553558,333.833832,329.839844,330.905914,330.905914,4404700
11/27/2012,330.415405,337.83783,329.329315,335.690704,335.690704,5012300
11/28/2012,334.339325,342.797791,332.277283,342.177185,342.177185,6077900
11/29/2012,344.234222,347.297302,341.341339,346.29129,346.29129,5547400
11/30/2012,346.001007,349.959961,343.188202,349.534546,349.534546,6320800
12/3/2012,351.471466,353.298309,347.402405,347.972961,347.972961,4380600
12/4/2012,347.847839,348.103088,343.193207,345.86087,345.86087,3979400
12/5/2012,346.421417,347.597595,341.5065,344.254242,344.254242,3721000
12/6/2012,344.13913,348.153168,342.597595,345.910919,345.910919,2921600
12/7/2012,347.847839,348.788788,341.551544,342.447449,342.447449,3834700
12/10/2012,343.038025,346.171173,342.237244,343.05304,343.05304,2730600
12/11/2012,345.345337,351.31131,344.204193,348.788788,348.788788,5369800
12/12/2012,349.964966,352.107117,347.087097,349.12912,349.12912,4847100
12/13/2012,358.318329,358.593597,350.125122,351.701691,351.701691,6882900
12/14/2012,349.934937,354.264252,349.564575,351.331329,351.331329,4255900
12/17/2012,353.103088,361.32132,352.362366,360.750763,360.750763,6064700
